epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5475.59,1.07175,0.94327,1.2981,0.69157,0.66388,0.70544,0.50125,1.3269,1.24462,1.41627,0.000848969,0.000848969,0.000848969
43,5603.9,1.05403,0.89985,1.27364,0.75966,0.6617,0.76068,0.5401,1.31075,1.13236,1.38259,0.000834822,0.000834822,0.000834822
44,5732.49,1.0636,0.91938,1.28516,0.683,0.67932,0.72585,0.51333,1.33593,1.12788,1.434,0.000820675,0.000820675,0.000820675
45,5860.84,1.06078,0.92805,1.27979,0.69504,0.72402,0.7371,0.51416,1.34544,1.17579,1.38785,0.000806528,0.000806528,0.000806528
46,5988.98,1.0426,0.89257,1.2574,0.74895,0.71208,0.74594,0.52069,1.36795,1.2385,1.43418,0.00079238,0.00079238,0.00079238
47,6117.44,1.05374,0.92503,1.29019,0.77428,0.66275,0.75824,0.53791,1.33694,1.1012,1.38739,0.000778233,0.000778233,0.000778233
48,6245.74,1.01597,0.84851,1.25587,0.7551,0.69959,0.76454,0.52737,1.37409,1.10969,1.43951,0.000764086,0.000764086,0.000764086
49,6373.93,1.02369,0.85611,1.25426,0.75972,0.69019,0.74706,0.53604,1.3101,1.08433,1.40267,0.000749939,0.000749939,0.000749939
50,6502.36,1.01916,0.83638,1.23929,0.72917,0.70957,0.75487,0.52507,1.34074,1.09442,1.41736,0.000735792,0.000735792,0.000735792
51,6631,1.01042,0.83542,1.23916,0.78004,0.73677,0.7668,0.52605,1.31006,1.06451,1.37189,0.000721645,0.000721645,0.000721645
52,6759.28,1.00015,0.82141,1.24094,0.76348,0.68883,0.72896,0.52349,1.31132,1.11695,1.388,0.000707498,0.000707498,0.000707498
53,6887.26,1.01997,0.85656,1.25412,0.77344,0.70086,0.74103,0.50536,1.3208,1.14799,1.40779,0.000693351,0.000693351,0.000693351
54,7015.52,1.01288,0.84099,1.24067,0.78417,0.65643,0.72631,0.52001,1.28463,1.15793,1.37554,0.000679204,0.000679204,0.000679204
55,7143.76,1.02238,0.8472,1.24968,0.74997,0.70276,0.77013,0.54504,1.37808,1.05035,1.45847,0.000665057,0.000665057,0.000665057
56,7272.22,1.00099,0.82116,1.23721,0.7134,0.68569,0.75594,0.52781,1.32844,1.11077,1.41782,0.000650909,0.000650909,0.000650909
57,7400.39,0.99414,0.79262,1.23603,0.75831,0.72202,0.78889,0.53608,1.31107,1.03275,1.3983,0.000636762,0.000636762,0.000636762
58,7528.62,0.99523,0.83522,1.23817,0.76117,0.69938,0.77519,0.5497,1.27556,1.03043,1.40142,0.000622615,0.000622615,0.000622615
59,7657.01,0.96078,0.75768,1.20419,0.77775,0.67841,0.74027,0.51335,1.35699,1.09075,1.4627,0.000608468,0.000608468,0.000608468
60,7785.31,1.00194,0.82138,1.24214,0.686,0.74304,0.75364,0.51739,1.29912,1.14963,1.38618,0.000594321,0.000594321,0.000594321
61,7913.69,0.97655,0.8005,1.22542,0.74618,0.69435,0.75765,0.52555,1.30014,1.07886,1.40381,0.000580174,0.000580174,0.000580174
62,8041.87,0.97381,0.76623,1.21656,0.67237,0.76411,0.763,0.53089,1.35804,1.13985,1.43359,0.000566027,0.000566027,0.000566027
63,8169.73,0.93936,0.74456,1.19634,0.76667,0.72983,0.79314,0.54982,1.3157,0.98616,1.41006,0.00055188,0.00055188,0.00055188
64,8298.35,0.96538,0.74938,1.20778,0.79013,0.69805,0.76471,0.53067,1.30837,1.03642,1.4161,0.000537733,0.000537733,0.000537733
65,8426.45,0.93535,0.73756,1.204,0.79062,0.76837,0.80924,0.55077,1.31257,0.9501,1.39507,0.000523586,0.000523586,0.000523586
66,8555.08,0.93941,0.73132,1.19736,0.71506,0.73964,0.7656,0.51761,1.37269,1.18002,1.4268,0.000509438,0.000509438,0.000509438
67,8683.16,0.92261,0.72893,1.18901,0.67369,0.75143,0.77158,0.53963,1.31441,1.00471,1.42549,0.000495291,0.000495291,0.000495291
68,8811.58,0.95109,0.73745,1.19429,0.67279,0.77008,0.76982,0.5378,1.31621,1.08478,1.4163,0.000481144,0.000481144,0.000481144
69,8945.1,0.92767,0.72346,1.19515,0.77128,0.7043,0.75464,0.53807,1.31478,1.11924,1.41304,0.000466997,0.000466997,0.000466997
70,9088.12,0.92297,0.71659,1.19409,0.75025,0.73408,0.76298,0.53735,1.29083,1.09878,1.39834,0.00045285,0.00045285,0.00045285
